date,importer,product_en,product_name,product_type_en,country_origin_en,importer_ko,importer_en,notes
2023-06-07,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-06-02,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-06-02,(주)우성생약,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)우성생약,WooSung,
2023-05-23,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2023-05-08,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-04-25,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-04-25,주식회사 이룡제약,DEER HORN,녹용,Deer velvet (dried),New Zealand,주식회사 이룡제약,Eryong Pharm.,
2023-04-25,대호제약주식회사,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,대호제약주식회사,Daeho Pharm.,
2023-04-11,(주)온누리바이오생약,FROZEN DEER HORN,녹용,Deer velvet (frozen),New Zealand,(주)온누리바이오생약,Onnuri Bio,
2023-04-11,케이앤씨(K&C),DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,케이앤씨(K&C),K&C,
2023-04-11,(주)바이오닷,FROZEN RED DEER VELVET ANTLER,생녹용,Deer velvet (frozen),New Zealand,(주)바이오닷,Bio Dot,
2023-04-04,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-04-04,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2023-04-04,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2023-03-30,와이더블유 인터내셔날,FROZEN RED DEER VELVET ANTLER(WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2023-03-28,(주)천호엔케어,DEER HORN,녹용,Deer velvet (dried),New Zealand,(주)천호엔케어,Chunho N Care,
2023-03-24,(주)시원생약,FROZEN DEER HORN,생녹용,Deer velvet (frozen),New Zealand,(주)시원생약,Siwon Pharmaceutical,
2023-03-21,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-03-13,(주)온누리바이오생약,DEER HORN,녹용,Deer velvet (dried),Russia,(주)온누리바이오생약,Onnuri Bio,
2023-03-07,와이더블유 인터내셔날,FROZEN RED DEER VELVET (WHOLE),냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2023-02-28,와이더블유 인터내셔날,FROZEN WHOLE DEER VELVET ANTLER,냉동녹용,Deer velvet (frozen),New Zealand,와이더블유 인터내셔날,YW International,
2023-02-28,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,건조녹용,Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
2023-02-28,화용제약,FROZEN DEER HORN,생녹용(냉동),Deer velvet (frozen),New Zealand,화용제약,HwaYong Pharm.,
2023-02-17,(주)한국인삼공사,DRIED RED DEER VELVET ANTLER,녹용(건조),Deer velvet (dried),New Zealand,(주)한국인삼공사,KGC,
